c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19
28, 0, DATE '1989-04-01', 0.00, NULL, 1.84, NULL, NULL, NULL
29, 0, DATE '1989-05-01', 0.00, NULL, 2.34, NULL, NULL, NULL
30, 0, DATE '1989-06-01', 0.00, NULL, 2.34, NULL, NULL, NULL
276, 0, DATE '2009-12-01', 0.00, 500.40, 25.66, 500.41, 752.12, 18.08
277, 0, DATE '2010-01-01', 0.00, 531.12, 27.24, 531.13, 798.30, 19.19
278, 0, DATE '2010-02-01', 0.00, 531.12, 27.24, 531.13, 798.30, 19.19
279, 0, DATE '2010-03-01', 0.00, 531.12, 27.24, 531.13, 798.30, 19.19
280, 0, DATE '2010-04-01', 0.00, 531.12, 27.24, 531.13, 798.30, 19.19
281, 0, DATE '2010-05-01', 0.00, 531.12, 27.24, 531.13, 798.30, 19.19
282, 0, DATE '2010-06-01', 0.00, 531.12, 27.24, 531.13, 798.30, 19.19
283, 0, DATE '2010-07-01', 0.00, 539.03, 27.64, 539.04, 810.18, 19.48
284, 0, DATE '2010-08-01', 0.00, 539.03, 27.64, 539.04, 810.18, 19.48
285, 0, DATE '2010-09-01', 0.00, 539.03, 27.64, 539.04, 810.18, 19.48
286, 0, DATE '2010-10-01', 0.00, 539.03, 27.64, 539.04, 810.18, 19.48
287, 0, DATE '2010-11-01', 0.00, 539.03, 27.64, 539.04, 810.18, 19.48
288, 0, DATE '2010-12-01', 0.00, 539.03, 27.64, 539.04, 810.18, 19.48
289, 0, DATE '2011-01-01', 0.00, 573.91, 29.43, 573.92, 862.60, 20.74
290, 0, DATE '2011-02-01', 0.00, 573.91, 29.43, 573.92, 862.60, 20.74
291, 0, DATE '2011-03-01', 0.00, 573.91, 29.43, 573.92, 862.60, 20.74
292, 0, DATE '2011-04-01', 0.00, 573.91, 29.43, 573.92, 862.60, 20.74
293, 0, DATE '2011-05-01', 0.00, 573.91, 29.43, 573.92, 862.60, 20.74
294, 0, DATE '2011-06-01', 0.00, 573.91, 29.43, 573.92, 862.60, 20.74
295, 0, DATE '2011-07-01', 0.00, 573.91, 29.43, 573.92, 862.60, 20.74
296, 0, DATE '2011-08-01', 0.00, 573.91, 29.43, 573.92, 862.60, 20.74
297, 0, DATE '2011-09-01', 0.00, 573.91, 29.43, 573.92, 862.60, 20.74
298, 0, DATE '2011-10-01', 0.00, 573.91, 29.43, 573.92, 862.60, 20.74
299, 0, DATE '2011-11-01', 0.00, 573.91, 29.43, 573.92, 862.60, 20.74
300, 0, DATE '2011-12-01', 0.00, 573.91, 29.43, 573.92, 862.60, 20.74
301, 0, DATE '2012-01-01', 0.00, 608.80, 31.22, 608.81, 915.05, 22.00
302, 0, DATE '2012-02-01', 0.00, 608.80, 31.22, 608.81, 915.05, 22.00
303, 0, DATE '2012-03-01', 0.00, 608.80, 31.22, 608.81, 915.05, 22.00
304, 0, DATE '2012-04-01', 0.00, 608.80, 31.22, 608.81, 915.05, 22.00
305, 0, DATE '2012-05-01', 0.00, 608.80, 31.22, 608.81, 915.05, 22.00
306, 0, DATE '2012-06-01', 0.00, 608.80, 31.22, 608.81, 915.05, 22.00
307, 0, DATE '2012-07-01', 0.00, 608.80, 31.22, 608.81, 915.05, 22.00
308, 0, DATE '2012-08-01', 0.00, 608.80, 31.22, 608.81, 915.05, 22.00
309, 0, DATE '2012-09-01', 0.00, 608.80, 31.22, 608.81, 915.05, 22.00
310, 0, DATE '2012-10-01', 0.00, 608.80, 31.22, 608.81, 915.05, 22.00
311, 0, DATE '2012-11-01', 0.00, 608.80, 31.22, 608.81, 915.05, 22.00
312, 0, DATE '2012-12-01', 0.00, 608.80, 31.22, 608.81, 915.05, 22.00
313, 0, DATE '2013-01-01', 0.00, 646.55, 33.16, 646.56, 971.78, 23.36
314, 0, DATE '2013-02-01', 0.00, 646.55, 33.16, 646.56, 971.78, 23.36
315, 0, DATE '2013-03-01', 0.00, 646.55, 33.16, 646.56, 971.78, 23.36
316, 0, DATE '2013-04-01', 0.00, 646.55, 33.16, 646.56, 971.78, 23.36
317, 0, DATE '2013-05-01', 0.00, 646.55, 33.16, 646.56, 971.78, 23.36
318, 0, DATE '2013-06-01', 0.00, 646.55, 33.16, 646.56, 971.78, 23.36
319, 0, DATE '2013-07-01', 0.00, 646.55, 33.16, 646.56, 971.78, 23.36
320, 0, DATE '2013-08-01', 0.00, 646.55, 33.16, 646.56, 971.78, 23.36
321, 0, DATE '2013-09-01', 0.00, 646.55, 33.16, 646.56, 971.78, 23.36
322, 0, DATE '2013-10-01', 0.00, 646.55, 33.16, 646.56, 971.78, 23.36
323, 0, DATE '2013-11-01', 0.00, 646.55, 33.16, 646.56, 971.78, 23.36
324, 0, DATE '2013-12-01', 0.00, 646.55, 33.16, 646.56, 971.78, 23.36
326, 0, DATE '2014-01-01', 0.00, 682.50, 35.00, 682.51, 1025.81, 24.66
327, 0, DATE '2014-02-01', 0.00, 682.50, 35.00, 682.51, 1025.81, 24.66
328, 0, DATE '2014-03-01', 0.00, 682.50, 35.00, 682.51, 1025.81, 24.66
329, 0, DATE '2014-04-01', 0.00, 682.50, 35.00, 682.51, 1025.81, 24.66
332, 0, DATE '2014-07-01', 0.00, 682.50, 35.00, 682.51, 1025.81, 24.66
333, 0, DATE '2014-05-01', 0.00, 682.50, 35.00, 682.51, 1025.81, 24.66
334, 0, DATE '2014-06-01', 0.00, 682.50, 35.00, 682.51, 1025.81, 24.66
335, 0, DATE '2014-08-01', 0.00, 682.50, 35.00, 682.51, 1025.81, 24.66
336, 0, DATE '2014-09-01', 0.00, 682.50, 35.00, 682.51, 1025.81, 24.66
337, 0, DATE '2014-10-01', 0.00, 682.50, 35.00, 682.51, 1025.81, 24.66
