id;vigencia_inicio;valor_teto;versao
DATE '1973-01-01', 2688.00
DATE '1973-02-01', 2688.00
DATE '1973-03-01', 2688.00
DATE '1973-04-01', 2688.00
DATE '1973-05-01', 3120.00
DATE '1973-06-01', 6240.00
DATE '1973-07-01', 6240.00
DATE '1973-08-01', 6240.00
DATE '1973-09-01', 6240.00
DATE '1973-10-01', 6240.00
DATE '1973-11-01', 6240.00
DATE '1973-12-01', 6240.00
DATE '1974-01-01', 6240.00
DATE '1974-02-01', 6240.00
DATE '1974-03-01', 6240.00
DATE '1974-04-01', 6240.00
DATE '1974-05-01', 7536.00
DATE '1974-06-01', 7536.00
DATE '1974-07-01', 7536.00
DATE '1974-08-01', 7536.00
DATE '1974-09-01', 7536.00
DATE '1974-10-01', 7536.00
DATE '1974-11-01', 7536.00
DATE '1982-08-01', 332160.00
DATE '1982-09-01', 332160.00
DATE '1982-10-01', 332160.00
DATE '1982-11-01', 471360.00
DATE '1982-12-01', 471360.00
DATE '1983-01-01', 471360.00
DATE '1983-02-01', 471360.00
DATE '1983-03-01', 471360.00
DATE '1983-04-01', 471360.00
DATE '1983-05-01', 695520.00
DATE '1983-06-01', 695520.00
DATE '1983-07-01', 695520.00
DATE '1983-08-01', 695520.00
DATE '1983-09-01', 695520.00
DATE '1983-10-01', 695520.00
DATE '1983-11-01', 1142400.00
DATE '1983-12-01', 1142400.00
DATE '1984-01-01', 1142400.00
DATE '1984-02-01', 1142400.00
DATE '1984-03-01', 1142400.00
DATE '1984-04-01', 1142400.00
DATE '1984-05-01', 1943520.00
DATE '1984-06-01', 1943520.00
DATE '1984-07-01', 1943520.00
DATE '1984-08-01', 1943520.00
DATE '1984-09-01', 1943520.00
DATE '1984-10-01', 1943520.00
DATE '1984-11-01', 3331200.00
DATE '1984-12-01', 3331200.00
DATE '1985-01-01', 3331200.00
DATE '1985-02-01', 3331200.00
DATE '1985-03-01', 3331200.00
DATE '1985-04-01', 3331200.00
DATE '1985-05-01', 6662400.00
DATE '1985-06-01', 6662400.00
DATE '1985-07-01', 6662400.00
DATE '1985-08-01', 6662400.00
DATE '1985-09-01', 6662400.00
DATE '1985-10-01', 6662400.00
DATE '1985-11-01', 12000000.00
DATE '1985-12-01', 12000000.00
DATE '1986-01-01', 12000000.00
DATE '1986-02-01', 12000000.00
DATE '1986-03-01', 16080.00
DATE '1986-04-01', 16080.00
DATE '1986-05-01', 16080.00
DATE '1986-06-01', 16080.00
DATE '1986-07-01', 16080.00
DATE '1986-08-01', 16080.00
DATE '1986-09-01', 16080.00
DATE '1986-10-01', 16080.00
DATE '1986-11-01', 16080.00
DATE '1986-12-01', 16080.00
