id;vigencia_inicio;valor;versao
1875, DATE '1971-05-01', 225.60, 0
1876, DATE '1971-06-01', 225.60, 0
1877, DATE '1971-07-01', 225.60, 0
2319, DATE '2008-05-01', 415.00, 0
2320, DATE '2008-06-01', 415.00, 0
2321, DATE '2008-07-01', 415.00, 0
2322, DATE '2008-08-01', 415.00, 0
2323, DATE '2008-09-01', 415.00, 0
2324, DATE '2008-10-01', 415.00, 0
2325, DATE '2008-11-01', 415.00, 0
2326, DATE '2008-12-01', 415.00, 0
2327, DATE '2009-01-01', 415.00, 0
2328, DATE '2009-02-01', 465.00, 0
2329, DATE '2009-03-01', 465.00, 0
2330, DATE '2009-04-01', 465.00, 0
2331, DATE '2009-05-01', 465.00, 0
2332, DATE '2009-06-01', 465.00, 0
2333, DATE '2009-07-01', 465.00, 0
2334, DATE '2009-08-01', 465.00, 0
2335, DATE '2009-09-01', 465.00, 0
2336, DATE '2009-10-01', 465.00, 0
2337, DATE '2009-11-01', 465.00, 0
2338, DATE '2009-12-01', 465.00, 0
2339, DATE '2010-01-01', 510.00, 0
2340, DATE '2010-02-01', 510.00, 0
2341, DATE '2010-03-01', 510.00, 0
2342, DATE '2010-04-01', 510.00, 0
2343, DATE '2010-05-01', 510.00, 0
2344, DATE '2010-06-01', 510.00, 0
2345, DATE '2010-07-01', 510.00, 0
2346, DATE '2010-08-01', 510.00, 0
2347, DATE '2010-09-01', 510.00, 0
2348, DATE '2010-10-01', 510.00, 0
2349, DATE '2010-11-01', 510.00, 0
2350, DATE '2010-12-01', 510.00, 0
2351, DATE '2011-01-01', 540.00, 0
2352, DATE '2011-02-01', 540.00, 0
2353, DATE '2011-03-01', 545.00, 0
2354, DATE '2011-04-01', 545.00, 0
2355, DATE '2011-05-01', 545.00, 0
2356, DATE '2011-06-01', 545.00, 0
2357, DATE '2011-07-01', 545.00, 0
2358, DATE '2011-08-01', 545.00, 0
2359, DATE '2011-09-01', 545.00, 0
2360, DATE '2011-10-01', 545.00, 0
2361, DATE '2011-11-01', 545.00, 0
2362, DATE '2011-12-01', 545.00, 0
2363, DATE '2012-01-01', 622.00, 0
2364, DATE '2012-02-01', 622.00, 0
2365, DATE '2012-03-01', 622.00, 0
2366, DATE '2012-04-01', 622.00, 0
2367, DATE '2012-05-01', 622.00, 0
2368, DATE '2012-06-01', 622.00, 0
2369, DATE '2012-07-01', 622.00, 0
2370, DATE '2012-08-01', 622.00, 0
2371, DATE '2012-09-01', 622.00, 0
2372, DATE '2012-10-01', 622.00, 0
2373, DATE '2012-11-01', 622.00, 0
2374, DATE '2012-12-01', 622.00, 0
2375, DATE '2013-01-01', 678.00, 0
2376, DATE '2013-02-01', 678.00, 0
2377, DATE '2013-03-01', 678.00, 0
2378, DATE '2013-04-01', 678.00, 0
2379, DATE '2013-05-01', 678.00, 0
2380, DATE '2013-06-01', 678.00, 0
2381, DATE '2013-07-01', 678.00, 0
2382, DATE '2013-08-01', 678.00, 0
2383, DATE '2013-09-01', 678.00, 0
2384, DATE '2013-10-01', 678.00, 0
2385, DATE '2013-11-01', 678.00, 0
2386, DATE '2013-12-01', 678.00, 0
2387, DATE '2014-01-01', 724.00, 0
2388, DATE '2014-02-01', 724.00, 0
2389, DATE '2014-03-01', 724.00, 0
2390, DATE '2014-04-01', 724.00, 0
2391, DATE '2014-05-01', 724.00, 0
2392, DATE '2014-06-01', 724.00, 0
2393, DATE '2014-07-01', 724.00, 0
2394, DATE '2014-08-01', 724.00, 0
2395, DATE '2014-09-01', 724.00, 0
2396, DATE '2014-10-01', 724.00, 0
2397, DATE '2014-11-01', 724.00, 0
2398, DATE '2014-12-01', 724.00, 0
2402, DATE '2015-01-01', 788.00, 0
2403, DATE '2015-02-01', 788.00, 0
2404, DATE '2015-03-01', 788.00, 0
2405, DATE '2015-04-01', 788.00, 0
2406, DATE '2015-05-01', 788.00, 0
2407, DATE '2015-06-01', 788.00, 0
2408, DATE '2015-07-01', 788.00, 0
2409, DATE '2015-08-01', 788.00, 0
2410, DATE '2015-09-01', 788.00, 0
2411, DATE '2015-10-01', 788.00, 0
2412, DATE '2015-11-01', 788.00, 0
2413, DATE '2015-12-01', 788.00, 0
2415, DATE '2016-01-01', 880.00, 0
2416, DATE '2016-02-01', 880.00, 0
2417, DATE '2016-03-01', 880.00, 0
2418, DATE '2016-04-01', 880.00, 0
2419, DATE '2016-05-01', 880.00, 0
2420, DATE '2016-06-01', 880.00, 0
2421, DATE '2016-07-01', 880.00, 0
2422, DATE '2016-08-01', 880.00, 0
2423, DATE '2016-09-01', 880.00, 0
2424, DATE '2016-10-01', 880.00, 0
2425, DATE '2016-11-01', 880.00, 0
2426, DATE '2016-12-01', 880.00, 0
2168, DATE '1995-10-01', 100.00, 0
2169, DATE '1995-11-01', 100.00, 0
2170, DATE '1995-12-01', 100.00, 0
2171, DATE '1996-01-01', 100.00, 0
2172, DATE '1996-02-01', 100.00, 0
2173, DATE '1996-03-01', 100.00, 0
2174, DATE '1996-04-01', 100.00, 0
2175, DATE '1996-05-01', 112.00, 0
2176, DATE '1996-06-01', 112.00, 0
2177, DATE '1996-07-01', 112.00, 0
2178, DATE '1996-08-01', 112.00, 0
2179, DATE '1996-09-01', 112.00, 0
2180, DATE '1996-10-01', 112.00, 0
2181, DATE '1996-11-01', 112.00, 0
2182, DATE '1996-12-01', 112.00, 0
2183, DATE '1997-01-01', 112.00, 0
2184, DATE '1997-02-01', 112.00, 0
2185, DATE '1997-03-01', 112.00, 0
2186, DATE '1997-04-01', 112.00, 0
2187, DATE '1997-05-01', 120.00, 0
2188, DATE '1997-06-01', 120.00, 0
2189, DATE '1997-07-01', 120.00, 0
2190, DATE '1997-08-01', 120.00, 0
2191, DATE '1997-09-01', 120.00, 0
2192, DATE '1997-10-01', 120.00, 0
2193, DATE '1997-11-01', 120.00, 0
2194, DATE '1997-12-01', 120.00, 0
2195, DATE '1998-01-01', 120.00, 0
2196, DATE '1998-02-01', 120.00, 0
2197, DATE '1998-03-01', 120.00, 0
2198, DATE '1998-04-01', 120.00, 0
2199, DATE '1998-05-01', 130.00, 0
2200, DATE '1998-06-01', 130.00, 0
2201, DATE '1998-07-01', 130.00, 0
2202, DATE '1998-08-01', 130.00, 0
2203, DATE '1998-09-01', 130.00, 0
2204, DATE '1998-10-01', 130.00, 0
2205, DATE '1998-11-01', 130.00, 0
2206, DATE '1998-12-01', 130.00, 0
2207, DATE '1999-01-01', 130.00, 0
2208, DATE '1999-02-01', 130.00, 0
2209, DATE '1999-03-01', 130.00, 0
2210, DATE '1999-04-01', 130.00, 0
2211, DATE '1999-05-01', 136.00, 0
2212, DATE '1999-06-01', 136.00, 0
2213, DATE '1999-07-01', 136.00, 0
2214, DATE '1999-08-01', 136.00, 0
2215, DATE '1999-09-01', 136.00, 0
2216, DATE '1999-10-01', 136.00, 0
2217, DATE '1999-11-01', 136.00, 0
2218, DATE '1999-12-01', 136.00, 0
2219, DATE '2000-01-01', 136.00, 0
2220, DATE '2000-02-01', 136.00, 0
2221, DATE '2000-03-01', 136.00, 0
2222, DATE '2000-04-01', 151.00, 0
2223, DATE '2000-05-01', 151.00, 0
2224, DATE '2000-06-01', 151.00, 0
2225, DATE '2000-07-01', 151.00, 0
2226, DATE '2000-08-01', 151.00, 0
2227, DATE '2000-09-01', 151.00, 0
2228, DATE '2000-10-01', 151.00, 0
2229, DATE '2000-11-01', 151.00, 0
2230, DATE '2000-12-01', 151.00, 0
2231, DATE '2001-01-01', 151.00, 0
2232, DATE '2001-02-01', 151.00, 0
2233, DATE '2001-03-01', 151.00, 0
2234, DATE '2001-04-01', 180.00, 0
2235, DATE '2001-05-01', 180.00, 0
2236, DATE '2001-06-01', 180.00, 0
2237, DATE '2001-07-01', 180.00, 0
2238, DATE '2001-08-01', 180.00, 0
2239, DATE '2001-09-01', 180.00, 0
2240, DATE '2001-10-01', 180.00, 0
2241, DATE '2001-11-01', 180.00, 0
2242, DATE '2001-12-01', 180.00, 0
2243, DATE '2002-01-01', 180.00, 0
2244, DATE '2002-02-01', 180.00, 0
1878, DATE '1971-08-01', 225.60, 0
1879, DATE '1971-09-01', 225.60, 0
1880, DATE '1971-10-01', 225.60, 0
1881, DATE '1971-11-01', 225.60, 0
