c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19
1317, 0, DATE '2006-03-01', 495.23, 80.00, 495.24, 50.00, 396.18, 561.30, 300.00
1318, 0, DATE '2006-04-01', 577.77, 80.00, 577.78, 50.00, 462.22, 654.85, 350.00
1319, 0, DATE '2006-05-01', 577.77, 80.00, 577.78, 50.00, 462.22, 654.85, 350.00
1320, 0, DATE '2006-06-01', 577.77, 80.00, 577.78, 50.00, 462.22, 654.85, 350.00
1321, 0, DATE '2006-07-01', 577.77, 80.00, 577.78, 50.00, 462.22, 654.85, 350.00
1322, 0, DATE '2006-08-01', 577.77, 80.00, 577.78, 50.00, 462.22, 654.85, 350.00
1323, 0, DATE '2006-09-01', 577.77, 80.00, 577.78, 50.00, 462.22, 654.85, 350.00
1324, 0, DATE '2006-10-01', 577.77, 80.00, 577.78, 50.00, 462.22, 654.85, 350.00
1325, 0, DATE '2006-11-01', 577.77, 80.00, 577.78, 50.00, 462.22, 654.85, 350.00
1326, 0, DATE '2006-12-01', 577.77, 80.00, 577.78, 50.00, 462.22, 654.85, 350.00
1327, 0, DATE '2007-01-01', 577.77, 80.00, 577.78, 50.00, 462.22, 654.85, 350.00
1328, 0, DATE '2007-02-01', 577.77, 80.00, 577.78, 50.00, 462.22, 654.85, 350.00
1329, 0, DATE '2007-03-01', 577.77, 80.00, 577.78, 50.00, 462.22, 654.85, 350.00
1330, 0, DATE '2007-04-01', 627.29, 80.00, 627.30, 50.00, 501.83, 710.97, 380.00
1331, 0, DATE '2007-05-01', 627.29, 80.00, 627.30, 50.00, 501.83, 710.97, 380.00
1332, 0, DATE '2007-06-01', 627.29, 80.00, 627.30, 50.00, 501.83, 710.97, 380.00
1333, 0, DATE '2007-07-01', 627.29, 80.00, 627.30, 50.00, 501.83, 710.97, 380.00
1334, 0, DATE '2007-08-01', 627.29, 80.00, 627.30, 50.00, 501.83, 710.97, 380.00
1335, 0, DATE '2007-09-01', 627.29, 80.00, 627.30, 50.00, 501.83, 710.97, 380.00
1336, 0, DATE '2007-10-01', 627.29, 80.00, 627.30, 50.00, 501.83, 710.97, 380.00
1337, 0, DATE '2007-11-01', 627.29, 80.00, 627.30, 50.00, 501.83, 710.97, 380.00
1338, 0, DATE '2007-12-01', 627.29, 80.00, 627.30, 50.00, 501.83, 710.97, 380.00
1339, 0, DATE '2008-01-01', 627.29, 80.00, 627.30, 50.00, 501.83, 710.97, 380.00
1340, 0, DATE '2008-02-01', 627.29, 80.00, 627.30, 50.00, 501.83, 710.97, 380.00
1341, 0, DATE '2008-03-01', 685.06, 80.00, 685.07, 50.00, 548.05, 776.46, 415.00
1342, 0, DATE '2008-04-01', 685.06, 80.00, 685.07, 50.00, 548.05, 776.46, 415.00
1343, 0, DATE '2008-05-01', 685.06, 80.00, 685.07, 50.00, 548.05, 776.46, 415.00
1344, 0, DATE '2008-06-01', 685.06, 80.00, 685.07, 50.00, 548.05, 776.46, 415.00
1102, 0, DATE '1988-04-01', NULL, 50.00, NULL, NULL, NULL, 10890.00, 5082.00
1103, 0, DATE '1988-05-01', NULL, 50.00, NULL, NULL, NULL, 13068.00, 6098.40
1104, 0, DATE '1988-06-01', NULL, 50.00, NULL, NULL, NULL, 15552.00, 7257.60
1105, 0, DATE '1988-07-01', NULL, 50.00, NULL, NULL, NULL, 18666.00, 8710.80
1106, 0, DATE '1988-08-01', NULL, 50.00, NULL, NULL, NULL, 23328.00, 10886.40
1107, 0, DATE '1988-09-01', NULL, 50.00, NULL, NULL, NULL, 28440.00, 13272.00
1108, 0, DATE '1988-10-01', NULL, 50.00, NULL, NULL, NULL, 35550.00, 16590.00
1109, 0, DATE '1988-11-01', NULL, 50.00, NULL, NULL, NULL, 46200.00, 21560.00
1110, 0, DATE '1988-12-01', NULL, 50.00, NULL, NULL, NULL, 60637.50, 28297.50
