c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19
13, DATE '1974-01-01', 0.00, NULL, 8.00, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 24.96, 0.00
14, DATE '1974-02-01', 0.00, NULL, 8.00, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 24.96, 0.00
15, DATE '1974-03-01', 0.00, NULL, 8.00, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 24.96, 0.00
16, DATE '1974-04-01', 0.00, NULL, 8.00, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 24.96, 0.00
17, DATE '1974-05-01', 0.00, NULL, 8.00, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 30.14, 0.00
18, DATE '1974-06-01', 0.00, NULL, 8.00, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 30.14, 0.00
19, DATE '1974-07-01', 0.00, NULL, 8.00, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 30.14, 0.00
368, DATE '2003-08-01', 0.00, 560.81, 7.65, 560.82, 720.00, 8.65, 720.01, 934.67, 9.00, 934.68, NULL, 11.00, NULL, NULL, NULL, 205.63, 0.00
369, DATE '2003-09-01', 0.00, 560.81, 7.65, 560.82, 720.00, 8.65, 720.01, 934.67, 9.00, 934.68, NULL, 11.00, NULL, NULL, NULL, 205.63, 0.00
370, DATE '2003-10-01', 0.00, 560.81, 7.65, 560.82, 720.00, 8.65, 720.01, 934.67, 9.00, 934.68, NULL, 11.00, NULL, NULL, NULL, 205.63, 0.00
371, DATE '2003-11-01', 0.00, 560.81, 7.65, 560.82, 720.00, 8.65, 720.01, 934.67, 9.00, 934.68, NULL, 11.00, NULL, NULL, NULL, 205.63, 0.00
372, DATE '2003-12-01', 0.00, 560.81, 7.65, 560.82, 720.00, 8.65, 720.01, 934.67, 9.00, 934.68, NULL, 11.00, NULL, NULL, NULL, 205.63, 0.00
373, DATE '2004-01-01', 0.00, 720.00, 7.65, 720.01, 1200.00, 9.00, 1200.01, NULL, 11.00, NULL, NULL, NULL, NULL, NULL, NULL, 264.00, 0.00
374, DATE '2004-02-01', 0.00, 720.00, 7.65, 720.01, 1200.00, 9.00, 1200.01, NULL, 11.00, NULL, NULL, NULL, NULL, NULL, NULL, 264.00, 0.00
375, DATE '2004-03-01', 0.00, 720.00, 7.65, 720.01, 1200.00, 9.00, 1200.01, NULL, 11.00, NULL, NULL, NULL, NULL, NULL, NULL, 264.00, 0.00
376, DATE '2004-04-01', 0.00, 720.00, 7.65, 720.01, 1200.00, 9.00, 1200.01, NULL, 11.00, NULL, NULL, NULL, NULL, NULL, NULL, 264.00, 0.00
377, DATE '2004-05-01', 0.00, 752.62, 7.65, 752.63, 780.00, 8.65, 780.01, 1254.36, 9.00, 1254.37, NULL, 11.00, NULL, NULL, NULL, 275.96, 0.00
378, DATE '2004-06-01', 0.00, 752.62, 7.65, 752.63, 780.00, 8.65, 780.01, 1254.36, 9.00, 1254.37, NULL, 11.00, NULL, NULL, NULL, 275.96, 0.00
379, DATE '2004-07-01', 0.00, 752.62, 7.65, 752.63, 780.00, 8.65, 780.01, 1254.36, 9.00, 1254.37, NULL, 11.00, NULL, NULL, NULL, 275.96, 0.00
380, DATE '2004-08-01', 0.00, 752.62, 7.65, 752.63, 780.00, 8.65, 780.01, 1254.36, 9.00, 1254.37, NULL, 11.00, NULL, NULL, NULL, 275.96, 0.00
381, DATE '2004-09-01', 0.00, 752.62, 7.65, 752.63, 780.00, 8.65, 780.01, 1254.36, 9.00, 1254.37, NULL, 11.00, NULL, NULL, NULL, 275.96, 0.00
382, DATE '2004-10-01', 0.00, 752.62, 7.65, 752.63, 780.00, 8.65, 780.01, 1254.36, 9.00, 1254.37, NULL, 11.00, NULL, NULL, NULL, 275.96, 0.00
383, DATE '2004-11-01', 0.00, 752.62, 7.65, 752.63, 780.00, 8.65, 780.01, 1254.36, 9.00, 1254.37, NULL, 11.00, NULL, NULL, NULL, 275.96, 0.00
384, DATE '2004-12-01', 0.00, 752.62, 7.65, 752.63, 780.00, 8.65, 780.01, 1254.36, 9.00, 1254.37, NULL, 11.00, NULL, NULL, NULL, 275.96, 0.00
385, DATE '2005-01-01', 0.00, 752.62, 7.65, 752.63, 780.00, 8.65, 780.01, 1254.36, 9.00, 1254.37, NULL, 11.00, NULL, NULL, NULL, 275.96, 0.00
386, DATE '2005-02-01', 0.00, 752.62, 7.65, 752.63, 780.00, 8.65, 780.01, 1254.36, 9.00, 1254.37, NULL, 11.00, NULL, NULL, NULL, 275.96, 0.00
387, DATE '2005-03-01', 0.00, 752.62, 7.65, 752.63, 780.00, 8.65, 780.01, 1254.36, 9.00, 1254.37, NULL, 11.00, NULL, NULL, NULL, 275.96, 0.00
388, DATE '2005-04-01', 0.00, 752.62, 7.65, 752.63, 780.00, 8.65, 780.01, 1254.36, 9.00, 1254.37, NULL, 11.00, NULL, NULL, NULL, 275.96, 0.00
389, DATE '2005-05-01', 0.00, 800.45, 7.65, 800.46, 900.00, 8.65, 900.01, 1334.07, 9.00, 1334.08, NULL, 11.00, NULL, NULL, NULL, 293.50, 0.00
390, DATE '2005-06-01', 0.00, 800.45, 7.65, 800.46, 900.00, 8.65, 900.01, 1334.07, 9.00, 1334.08, NULL, 11.00, NULL, NULL, NULL, 293.50, 0.00
391, DATE '2005-07-01', 0.00, 800.45, 7.65, 800.46, 900.00, 8.65, 900.01, 1334.07, 9.00, 1334.08, NULL, 11.00, NULL, NULL, NULL, 293.50, 0.00
392, DATE '2005-08-01', 0.00, 800.45, 7.65, 800.46, 900.00, 8.65, 900.01, 1334.07, 9.00, 1334.08, NULL, 11.00, NULL, NULL, NULL, 293.50, 0.00
393, DATE '2005-09-01', 0.00, 800.45, 7.65, 800.46, 900.00, 8.65, 900.01, 1334.07, 9.00, 1334.08, NULL, 11.00, NULL, NULL, NULL, 293.50, 0.00
394, DATE '2005-10-01', 0.00, 800.45, 7.65, 800.46, 900.00, 8.65, 900.01, 1334.07, 9.00, 1334.08, NULL, 11.00, NULL, NULL, NULL, 293.50, 0.00
395, DATE '2005-11-01', 0.00, 800.45, 7.65, 800.46, 900.00, 8.65, 900.01, 1334.07, 9.00, 1334.08, NULL, 11.00, NULL, NULL, NULL, 293.50, 0.00
396, DATE '2005-12-01', 0.00, 800.45, 7.65, 800.46, 900.00, 8.65, 900.01, 1334.07, 9.00, 1334.08, NULL, 11.00, NULL, NULL, NULL, 293.50, 0.00
397, DATE '2006-01-01', 0.00, 800.45, 7.65, 800.46, 900.00, 8.65, 900.01, 1334.07, 9.00, 1334.08, NULL, 11.00, NULL, NULL, NULL, 293.50, 0.00
398, DATE '2006-02-01', 0.00, 800.45, 7.65, 800.46, 900.00, 8.65, 900.01, 1334.07, 9.00, 1334.08, NULL, 11.00, NULL, NULL, NULL, 293.50, 0.00
399, DATE '2006-03-01', 0.00, 800.45, 7.65, 800.46, 900.00, 8.65, 900.01, 1334.07, 9.00, 1334.08, NULL, 11.00, NULL, NULL, NULL, 293.50, 0.00
400, DATE '2006-04-01', 0.00, 840.47, 7.65, 840.48, 1050.00, 8.65, 1050.01, 1400.77, 9.00, 1400.78, NULL, 11.00, NULL, NULL, NULL, 308.17, 0.00
401, DATE '2006-05-01', 0.00, 840.47, 7.65, 840.48, 1050.00, 8.65, 1050.01, 1400.77, 9.00, 1400.78, NULL, 11.00, NULL, NULL, NULL, 308.17, 0.00
402, DATE '2006-06-01', 0.00, 840.47, 7.65, 840.48, 1050.00, 8.65, 1050.01, 1400.77, 9.00, 1400.78, NULL, 11.00, NULL, NULL, NULL, 308.17, 0.00
403, DATE '2006-07-01', 0.00, 840.47, 7.65, 840.48, 1050.00, 8.65, 1050.01, 1400.77, 9.00, 1400.78, NULL, 11.00, NULL, NULL, NULL, 308.17, 0.00
404, DATE '2006-08-01', 0.00, 840.55, 7.65, 840.56, 1050.00, 8.65, 1050.01, 1400.91, 9.00, 1400.92, NULL, 11.00, NULL, NULL, NULL, 308.20, 0.00
405, DATE '2006-09-01', 0.00, 840.55, 7.65, 840.56, 1050.00, 8.65, 1050.01, 1400.91, 9.00, 1400.92, NULL, 11.00, NULL, NULL, NULL, 308.20, 0.00
