c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19
559, DATE '2013-07-01', 0.710000, DATE '2013-09-01'
560, DATE '2013-08-01', 0.810000, DATE '2013-10-01'
561, DATE '2013-09-01', 0.720000, DATE '2013-11-01'
562, DATE '2013-10-01', 0.790000, DATE '2013-12-01'
563, DATE '2013-11-01', 0.850000, DATE '2014-01-01'
564, DATE '2013-12-01', 0.790000, DATE '2014-02-01'
565, DATE '2014-01-01', 0.770000, DATE '2014-03-01'
566, DATE '2014-02-01', 0.820000, DATE '2014-04-01'
567, DATE '2014-03-01', 0.870000, DATE '2014-05-01'
592, DATE '2014-04-01', 0.820000, DATE '2014-06-01'
593, DATE '2014-05-01', 0.950000, DATE '2014-07-01'
594, DATE '2014-06-01', 0.870000, DATE '2014-08-01'
595, DATE '2014-07-01', 0.910000, DATE '2014-09-01'
596, DATE '2014-08-01', 0.950000, DATE '2014-10-01'
597, DATE '2014-09-01', 0.840000, DATE '2014-11-01'
598, DATE '2014-10-01', 0.960000, DATE '2014-12-01'
599, DATE '2014-11-01', 0.940000, DATE '2015-01-01'
601, DATE '2014-12-01', 0.820000, DATE '2015-02-01'
602, DATE '2015-01-01', 1.040000, DATE '2015-03-01'
603, DATE '2015-02-01', 0.950000, DATE '2015-04-01'
604, DATE '2015-03-01', 0.990000, DATE '2015-05-01'
605, DATE '2015-04-01', 1.070000, DATE '2015-06-01'
606, DATE '2015-05-01', 1.180000, DATE '2015-07-01'
607, DATE '2015-06-01', 1.110000, DATE '2015-08-01'
608, DATE '2015-07-01', 1.110000, DATE '2015-09-01'
609, DATE '2015-08-01', 1.110000, DATE '2015-10-01'
610, DATE '2015-09-01', 1.060000, DATE '2015-11-01'
613, DATE '2015-10-01', 1.160000, DATE '2015-12-01'
614, DATE '2015-11-01', 1.060000, DATE '2016-01-01'
615, DATE '2015-12-01', 1.000000, DATE '2016-02-01'
267, DATE '1989-03-01', 1.000000, DATE '1989-05-01'
268, DATE '1989-04-01', 1.000000, DATE '1989-06-01'
269, DATE '1989-05-01', 1.000000, DATE '1989-07-01'
270, DATE '1989-06-01', 1.000000, DATE '1989-08-01'
271, DATE '1989-07-01', 1.000000, DATE '1989-09-01'
272, DATE '1989-08-01', 1.000000, DATE '1989-10-01'
273, DATE '1989-09-01', 1.000000, DATE '1989-11-01'
274, DATE '1989-10-01', 1.000000, DATE '1989-12-01'
275, DATE '1989-11-01', 1.000000, DATE '1990-01-01'
276, DATE '1989-12-01', 1.000000, DATE '1990-02-01'
277, DATE '1990-01-01', 1.000000, DATE '1990-03-01'
278, DATE '1990-02-01', 1.000000, DATE '1990-04-01'
279, DATE '1990-03-01', 1.000000, DATE '1990-05-01'
280, DATE '1990-04-01', 1.000000, DATE '1990-06-01'
281, DATE '1990-05-01', 1.000000, DATE '1990-07-01'
282, DATE '1990-06-01', 1.000000, DATE '1990-08-01'
283, DATE '1990-07-01', 1.000000, DATE '1990-09-01'
284, DATE '1990-08-01', 1.000000, DATE '1990-10-01'
285, DATE '1990-09-01', 1.000000, DATE '1990-11-01'
286, DATE '1990-10-01', 1.000000, DATE '1990-12-01'
287, DATE '1990-11-01', 1.000000, DATE '1991-01-01'
288, DATE '1990-12-01', 5.960000, DATE '1991-02-01'
289, DATE '1991-01-01', 32.170000, DATE '1991-03-01'
290, DATE '1991-02-01', 30.030000, DATE '1991-04-01'
291, DATE '1991-03-01', 29.520000, DATE '1991-05-01'
292, DATE '1991-04-01', 28.420000, DATE '1991-06-01'
293, DATE '1991-05-01', 27.420000, DATE '1991-07-01'
294, DATE '1991-06-01', 26.920000, DATE '1991-08-01'
295, DATE '1991-07-01', 28.360000, DATE '1991-09-01'
296, DATE '1991-08-01', 31.370000, DATE '1991-10-01'
297, DATE '1991-09-01', 35.210000, DATE '1991-11-01'
298, DATE '1991-10-01', 38.950000, DATE '1991-12-01'
299, DATE '1991-11-01', 21.190000, DATE '1992-01-01'
300, DATE '1991-12-01', 1.000000, DATE '1992-02-01'
301, DATE '1992-01-01', 1.000000, DATE '1992-03-01'
302, DATE '1992-02-01', 1.000000, DATE '1992-04-01'
303, DATE '1992-03-01', 1.000000, DATE '1992-05-01'
